question_id,db_id,gold_tables,predicted_tables,total_tables
851,formula_1,"['constructors', 'constructorstandings']","['circuits', 'constructorresults', 'constructors', 'constructorstandings', 'races']",13
852,formula_1,"['circuits', 'races']","['circuits', 'races']",13
853,formula_1,"['circuits', 'races']","['circuits', 'races']",13
854,formula_1,"['circuits', 'races']","['circuits', 'races']",13
855,formula_1,"['circuits', 'races']","['circuits', 'constructorresults', 'constructorstandings', 'driverstandings', 'laptimes', 'pitstops', 'qualifying', 'races', 'results']",13
1020,european_football_2,['player_attributes'],"['player', 'player_attributes']",7
1021,european_football_2,['player'],['player'],7
1022,european_football_2,['player_attributes'],"['player', 'player_attributes']",7
1023,european_football_2,['player_attributes'],"['match', 'player', 'player_attributes']",7
1024,european_football_2,['player_attributes'],"['player', 'player_attributes']",7
1025,european_football_2,"['league', 'match']","['league', 'match']",7
1026,european_football_2,"['match', 'team']","['match', 'team']",7
1027,european_football_2,"['player', 'player_attributes']","['player', 'player_attributes']",7
1028,european_football_2,"['league', 'match', 'team']","['country', 'league', 'match', 'player', 'player_attributes', 'team', 'team_attributes']",7
1029,european_football_2,"['team', 'team_attributes']","['team', 'team_attributes']",7
1149,thrombosis_prediction,['patient'],"['examination', 'laboratory', 'patient']",3
1150,thrombosis_prediction,['patient'],"['examination', 'laboratory', 'patient']",3
1151,thrombosis_prediction,['patient'],"['examination', 'laboratory', 'patient']",3
1152,thrombosis_prediction,['patient'],"['examination', 'laboratory', 'patient']",3
1153,thrombosis_prediction,"['laboratory', 'patient']","['examination', 'laboratory', 'patient']",3
1154,thrombosis_prediction,"['examination', 'patient']","['examination', 'laboratory', 'patient']",3
1155,thrombosis_prediction,"['laboratory', 'patient']","['examination', 'laboratory', 'patient']",3
1156,thrombosis_prediction,"['examination', 'patient']","['examination', 'laboratory', 'patient']",3
1157,thrombosis_prediction,"['examination', 'patient']","['examination', 'laboratory', 'patient']",3
1158,thrombosis_prediction,"['laboratory', 'patient']","['laboratory', 'patient']",3
1312,student_club,"['major', 'member']","['major', 'member']",8
1313,student_club,"['major', 'member']","['major', 'member']",8
1314,student_club,"['major', 'member']","['major', 'member']",8
1315,student_club,"['attendance', 'event']","['attendance', 'event', 'member']",8
1316,student_club,"['attendance', 'event', 'member']","['attendance', 'event', 'member']",8
1317,student_club,"['attendance', 'event', 'member']","['attendance', 'event', 'major', 'member']",8
1318,student_club,"['attendance', 'event']","['attendance', 'event', 'member']",8
1319,student_club,"['major', 'member']","['major', 'member']",8
1320,student_club,"['attendance', 'event', 'member']","['attendance', 'budget', 'event', 'expense', 'income', 'major', 'member', 'zip_code']",8
1321,student_club,"['attendance', 'event', 'member']","['attendance', 'event', 'member']",8
1470,debit_card_specializing,['gasstations'],"['gasstations', 'products', 'transactions_1k']",5
1471,debit_card_specializing,['customers'],['customers'],5
1472,debit_card_specializing,"['customers', 'yearmonth']","['customers', 'gasstations', 'products', 'transactions_1k', 'yearmonth']",5
1473,debit_card_specializing,"['customers', 'yearmonth']","['customers', 'transactions_1k', 'yearmonth']",5
1474,debit_card_specializing,"['customers', 'yearmonth']","['customers', 'gasstations', 'products', 'transactions_1k', 'yearmonth']",5
1475,debit_card_specializing,"['customers', 'yearmonth']","['customers', 'transactions_1k', 'yearmonth']",5
1476,debit_card_specializing,"['customers', 'yearmonth']","['customers', 'transactions_1k', 'yearmonth']",5
1477,debit_card_specializing,"['customers', 'yearmonth']","['customers', 'gasstations', 'products', 'transactions_1k', 'yearmonth']",5
1478,debit_card_specializing,"['customers', 'yearmonth']","['customers', 'gasstations', 'transactions_1k', 'yearmonth']",5
1479,debit_card_specializing,"['customers', 'yearmonth']","['customers', 'transactions_1k', 'yearmonth']",5
