question_id,db_id,gold_tables,predicted_tables
847,formula_1,"['drivers', 'qualifying']","['drivers', 'laptimes', 'races']"
848,formula_1,"['circuits', 'races']","['circuits', 'races']"
849,formula_1,"['circuits', 'races']","['circuits', 'races']"
850,formula_1,"['circuits', 'races']","['circuits', 'races']"
851,formula_1,"['constructors', 'constructorstandings']","['circuits', 'constructors', 'constructorstandings']"
852,formula_1,"['circuits', 'races']","['circuits', 'races']"
853,formula_1,"['circuits', 'races']","['circuits', 'races']"
854,formula_1,"['circuits', 'races']","['circuits', 'races']"
855,formula_1,"['circuits', 'races']","['circuits', 'races']"
1020,european_football_2,['player_attributes'],"['player', 'player_attributes']"
1021,european_football_2,['player'],['player']
1022,european_football_2,['player_attributes'],['player_attributes']
1023,european_football_2,['player_attributes'],"['player', 'player_attributes']"
1024,european_football_2,['player_attributes'],"['player', 'player_attributes']"
1025,european_football_2,"['league', 'match']","['league', 'match']"
1026,european_football_2,"['match', 'team']","['match', 'team']"
1027,european_football_2,"['player', 'player_attributes']","['player', 'player_attributes']"
1028,european_football_2,"['league', 'match', 'team']","['league', 'match']"
1029,european_football_2,"['team', 'team_attributes']",['team_attributes']
1149,thrombosis_prediction,['patient'],['patient']
1150,thrombosis_prediction,['patient'],['patient']
1151,thrombosis_prediction,['patient'],['patient']
1152,thrombosis_prediction,['patient'],['patient']
1153,thrombosis_prediction,"['laboratory', 'patient']","['laboratory', 'patient']"
1154,thrombosis_prediction,"['examination', 'patient']","['examination', 'patient']"
1155,thrombosis_prediction,"['laboratory', 'patient']","['laboratory', 'patient']"
1156,thrombosis_prediction,"['examination', 'patient']","['examination', 'patient']"
1157,thrombosis_prediction,"['examination', 'patient']","['examination', 'patient']"
1158,thrombosis_prediction,"['laboratory', 'patient']","['laboratory', 'patient']"
1312,student_club,"['major', 'member']","['major', 'member']"
1313,student_club,"['major', 'member']","['major', 'member']"
1314,student_club,"['major', 'member']","['major', 'member']"
1315,student_club,"['attendance', 'event']","['attendance', 'event', 'member']"
1316,student_club,"['attendance', 'event', 'member']","['attendance', 'event', 'member']"
1317,student_club,"['attendance', 'event', 'member']","['attendance', 'event', 'member']"
1318,student_club,"['attendance', 'event']","['attendance', 'event']"
1319,student_club,"['major', 'member']","['major', 'member']"
1320,student_club,"['attendance', 'event', 'member']","['attendance', 'event', 'member']"
1321,student_club,"['attendance', 'event', 'member']","['attendance', 'event', 'member']"
1470,debit_card_specializing,['gasstations'],['gasstations']
1471,debit_card_specializing,['customers'],['customers']
1472,debit_card_specializing,"['customers', 'yearmonth']",['yearmonth']
1473,debit_card_specializing,"['customers', 'yearmonth']","['customers', 'yearmonth']"
1474,debit_card_specializing,"['customers', 'yearmonth']","['customers', 'yearmonth']"
1475,debit_card_specializing,"['customers', 'yearmonth']","['customers', 'yearmonth']"
1476,debit_card_specializing,"['customers', 'yearmonth']","['customers', 'yearmonth']"
1477,debit_card_specializing,"['customers', 'yearmonth']","['customers', 'transactions_1k']"
1478,debit_card_specializing,"['customers', 'yearmonth']","['customers', 'yearmonth']"
1479,debit_card_specializing,"['customers', 'yearmonth']","['customers', 'yearmonth']"
