question_id,db_id,gold_tables,predicted_tables,total_tables
725,superhero,"['publisher', 'superhero']","['publisher', 'superhero']",10
726,superhero,"['publisher', 'superhero']","['publisher', 'superhero']",10
846,formula_1,"['drivers', 'qualifying']","['drivers', 'qualifying', 'races']",13
847,formula_1,"['drivers', 'qualifying']","['drivers', 'laptimes', 'races']",13
848,formula_1,"['circuits', 'races']","['circuits', 'races']",13
849,formula_1,"['circuits', 'races']","['circuits', 'races']",13
850,formula_1,"['circuits', 'races']","['circuits', 'races']",13
851,formula_1,"['constructors', 'constructorstandings']","['circuits', 'constructorresults', 'constructors', 'races']",13
852,formula_1,"['circuits', 'races']","['circuits', 'races']",13
853,formula_1,"['circuits', 'races']","['circuits', 'races']",13
854,formula_1,"['circuits', 'races']","['circuits', 'races']",13
855,formula_1,"['circuits', 'races']","['circuits', 'races']",13
1020,european_football_2,['player_attributes'],['player_attributes'],7
1021,european_football_2,['player'],['player'],7
1022,european_football_2,['player_attributes'],"['player', 'player_attributes']",7
1023,european_football_2,['player_attributes'],['player_attributes'],7
1024,european_football_2,['player_attributes'],"['player', 'player_attributes']",7
1025,european_football_2,"['league', 'match']","['league', 'match']",7
1026,european_football_2,"['match', 'team']","['match', 'team']",7
1027,european_football_2,"['player', 'player_attributes']","['player', 'player_attributes']",7
1028,european_football_2,"['league', 'match', 'team']","['league', 'match']",7
1029,european_football_2,"['team', 'team_attributes']",['team_attributes'],7
1149,thrombosis_prediction,['patient'],['patient'],3
1150,thrombosis_prediction,['patient'],['patient'],3
1151,thrombosis_prediction,['patient'],['patient'],3
1152,thrombosis_prediction,['patient'],['patient'],3
1153,thrombosis_prediction,"['laboratory', 'patient']","['laboratory', 'patient']",3
1154,thrombosis_prediction,"['examination', 'patient']","['examination', 'patient']",3
1155,thrombosis_prediction,"['laboratory', 'patient']","['laboratory', 'patient']",3
1156,thrombosis_prediction,"['examination', 'patient']","['examination', 'patient']",3
1157,thrombosis_prediction,"['examination', 'patient']","['examination', 'patient']",3
1158,thrombosis_prediction,"['laboratory', 'patient']","['laboratory', 'patient']",3
1312,student_club,"['major', 'member']","['major', 'member']",8
1313,student_club,"['major', 'member']","['major', 'member']",8
1314,student_club,"['major', 'member']","['major', 'member']",8
1315,student_club,"['attendance', 'event']","['attendance', 'event']",8
1316,student_club,"['attendance', 'event', 'member']","['attendance', 'member']",8
1317,student_club,"['attendance', 'event', 'member']","['attendance', 'event', 'member']",8
1318,student_club,"['attendance', 'event']","['attendance', 'event']",8
1319,student_club,"['major', 'member']","['major', 'member']",8
1320,student_club,"['attendance', 'event', 'member']","['attendance', 'event', 'member']",8
1321,student_club,"['attendance', 'event', 'member']","['attendance', 'event', 'member']",8
1470,debit_card_specializing,['gasstations'],"['gasstations', 'products', 'transactions_1k']",5
1471,debit_card_specializing,['customers'],['customers'],5
1472,debit_card_specializing,"['customers', 'yearmonth']","['customers', 'yearmonth']",5
1473,debit_card_specializing,"['customers', 'yearmonth']","['customers', 'yearmonth']",5
1474,debit_card_specializing,"['customers', 'yearmonth']","['customers', 'yearmonth']",5
1475,debit_card_specializing,"['customers', 'yearmonth']",['yearmonth'],5
1476,debit_card_specializing,"['customers', 'yearmonth']","['customers', 'yearmonth']",5
1477,debit_card_specializing,"['customers', 'yearmonth']","['customers', 'transactions_1k']",5
1478,debit_card_specializing,"['customers', 'yearmonth']","['customers', 'yearmonth']",5
1479,debit_card_specializing,"['customers', 'yearmonth']","['customers', 'yearmonth']",5
